,UID,Month,Date,Grs Oil,Grs Gas,Net Oil,Net Gas,Net NGL,Oil Revenue,Gas Revenue,NGL Revenue,Total Revenue,Total Tax,OPEX,Operating Income,Cumulative Op CF,Net Cashflow,Cumulative Net CF
20,81244.0,20.0,2023-05-01,1832.2699,178310.3417,24.2461948884227,2359.558106302704,0.0,1424.1,8718.75,0.0,10142.85,806.356575,0.0,9336.493425,192427.91078,9336.493425,192427.91078
21,81244.0,21.0,2023-06-01,1692.9739,166896.5721,22.4029086110147,2208.521142734643,0.0,1315.83,8160.65,0.0,9476.48,753.3801599999999,0.0,8723.099839999999,201151.01062000002,8723.099839999999,201151.01062000002
22,81244.0,22.0,2023-07-01,1573.454,156916.7088,20.821316953342,2076.4588791283823,0.0,1222.94,7672.67,0.0,8895.61,707.200995,0.0,8188.409005,209339.419625,8188.409005,209339.419625
23,81244.0,23.0,2023-08-01,1469.7712,148113.1107,19.449295628657598,1959.961983528041,0.0,1142.35,7242.21,0.0,8384.56,666.57252,0.0,7717.98748,217057.40710500002,7717.98748,217057.40710500002
24,81244.0,24.0,2023-09-01,1378.9684,140286.7414,18.247713708213197,1856.396632530042,0.0,1071.78,6859.53,0.0,7931.3099999999995,630.539145,0.0,7300.770855,224358.17796000003,7300.770855,224358.17796000003
25,81244.0,25.0,2023-10-01,1298.7821,133281.3448,17.1866185839733,1763.6951090076102,0.0,1009.46,6516.99,0.0,7526.45,598.352775,0.0,6928.0972249999995,231286.27518500003,6928.0972249999995,231286.27518500003
26,81244.0,26.0,2023-11-01,1227.4505,126972.497,16.2426965802865,1680.210927293881,0.0,954.01,6208.51,0.0,7162.52,569.42034,0.0,6593.099660000001,237879.37484500004,6593.099660000001,237879.37484500004
27,81244.0,27.0,2023-12-01,1163.5812,121259.864,15.3975222447876,1604.616380309272,0.0,904.37,5929.18,0.0,6833.55,543.267225,0.0,6290.282775,244169.65762000004,6290.282775,244169.65762000004
28,81244.0,28.0,2024-01-01,1106.0597,116061.62,14.636347540518098,1535.8286776342597,0.0,807.88,5452.12,0.0,6260.0,497.66999999999996,0.0,5762.33,249931.98762000003,5762.33,249931.98762000003
29,81244.0,29.0,2024-02-01,1053.983,111310.3521,13.947223183158998,1472.9557529245833,0.0,769.84,5228.92,0.0,5998.76,476.90142000000003,0.0,5521.85858,255453.84620000003,5521.85858,255453.84620000003
